,product_id,product_name,display_price,regular_price,currency,uom,item_link,item_imge_link
0,191001,Cherry nhập khẩu xuất xứ Mỹ,"479,000","549,000",₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/cherry-nhap-khau-xuat-xu-my/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/386155-300x300.jpg
1,448595,Táo Gala Nhập Khẩu Nam Phi Túi 3kg,"129,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/tao-gala-nhap-khau-xuat-xu-nam-phi-tui-3kg-448595/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/399256-300x300.jpg
2,71220,Thịt đùi heo,"173,900",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/thit-dui-heo/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/206507-300x300.jpg
3,523062,Cherry nhập khẩu xuất xứ Canada,"399,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/cherry-nhap-khau-xuat-xu-canada-523062/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/403336-300x300.jpg
4,523095,Nạc vai heo,"115,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/nac-vai-heo-523095/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/397704-300x300.jpg
5,523106,Nạc vai heo,"115,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/nac-vai-heo-523106/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/397710-300x300.jpg
6,522406,Cá bào Hana Katsuo Chidori 100g,"129,000","159,500",₫,Gói,https://online.mmvietnam.com/san-pham/mm-an-phu/ca-bao-hana-katsuo-chidori-100g-522406/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/357620-300x300.jpg
7,522413,Cá bào Ito Hana Katsuo 100g,"129,000","175,000",₫,Gói,https://online.mmvietnam.com/san-pham/mm-an-phu/ca-bao-ito-hana-katsuo-100g-522413/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/357621-300x300.jpg
8,522249,Cá thát lát nạo We Are Fresh tươi,"179,000","210,000",₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/ca-that-lat-nao-we-are-fresh-tuoi-522249/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/402936-300x300.jpg
9,522098,Cá trứng SG Food Deli 500g,"69,000","95,000",₫,Gói,https://online.mmvietnam.com/san-pham/mm-an-phu/ca-trung-sg-food-deli-500g-522098/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/385254-300x300.jpg
