,zones,id,ten,group,short_ten,diachi,email,dienthoai,zone,image,open,Lat,Lng,quan,serviceRange,khuyenmai,mincart,giaohang,onsale,onepay,zalopay,bankaccount,messenger
0,Co.opXtra,xtanphong,Co.opXtra Tân Phong - Quận 7,coopxtra,Tân Phong,"1058 Nguyễn Văn Linh, Tân Phong, 7, Hồ Chí Minh",xtanphong-marketing@saigonco-op.com.vn,(028) 3776 1234,1,https://cooponline.vn//cnms/images/coopmart/cxtanphong.jpg,7h30 - 17h,10.7296597,106.7023987,778,"['778', '760', '769', '770', '773', '774', '776', '771', '786', '785']",,200000,True,True,True,False,"{'active': True, 'name': 'Công ty TNHH Saigon Co-op Fairprice', 'account': '0071000976702', 'bank': 'Vietcombank - CN TPHCM'}",
1,Co.opXtra,xlinhtrung,Co.opXtra Linh Trung - Thủ Đức,coopxtra,Linh Trung,"934 QL1A, Linh Trung, Thủ Đức, Hồ Chí Minh",xlinhtrung-marketing@saigonco-op.com.vn,(028) 3724 3228,1,https://cooponline.vn//cnms/images/coopmart/cxlinhtrung.jpg,7h30 - 22h,10.8685274,106.775181,762,,,200000,True,True,False,False,,
2,Co.opXtra,xvanhanh,Co.opXtra Vạn Hạnh - Quận 10,coopxtra,Vạn Hạnh,"Van Hanh Mall - 11 Sư Vạn Hạnh, Phường 12, Quận 10",xvanhanh-mkt@saigonco-op.com.vn,(028) 39798 565,1,https://cooponline.vn//cnms/images/coopmart/cxvanhanh.jpg,7h30 - 22h,10.7704527,106.6673558,771,"['771', '770', '774', '776', '772', '760', '775', '766']",,300000,True,True,False,False,,
3,Co.opXtra,xphamvandong,Co.opXtra Phạm Văn Đồng - Thủ Đức,coopxtra,Phạm Văn Đồng,"Gigamall - 242 Phạm Văn Đồng, Hiệp Bình Chánh, Thủ Đức, TP.HMC",xphamvandong-mkt@saigonco-op.com.vn,(028) 3726 1232,1,https://cooponline.vn//cnms/images/coopmart/cxphamvandong.jpg,7h30 - 22h,10.8282847,106.7203214,762,,,200000,True,True,False,False,,
4,Co.opXtra,548,Coopxtra Premium - Quận 7,,CX Premium,"Tầng B1, Crescent Mall, 101 Tôn Dật Tiên, P.Tân Phú, Quận 7",xcrescentmall-mkt@saigonco-op.com.vn,(028) 028.54.121.416,1,https://cooponline.vn//cnms/images/coopmart/cxpremium.jpg,7h30 - 22h,10.8282847,106.7203214,778,['778'],,200000,False,True,False,,,
0,Co.opMart Khu Vực TPHCM,130,Co.opmart Rạch Miễu - Phú Nhuận,,Rạch Miễu,"48 Hoa Sứ, P.7, Q. Phú Nhuận. TP. HCM",rmmarketing@coopmart.vn,(028) 35 171 368,2,https://cooponline.vn//cnms/images/coopmart/cmrachmieu.jpg,7h30 - 22h,10.8282847,106.7203214,768,"['768', '770', '760', '771', '765', '767']",,200000.0,False,True,False,,,
1,Co.opMart Khu Vực TPHCM,133,Co.opmart Nhiêu Lộc - Quận 3,,Nhiêu Lộc,"Tầng trệt cao ốc SCREC, P.12, Q.3, TPHCM",nlmarketing@coopmart.vn,(028) 62 904 804,2,https://cooponline.vn//cnms/images/coopmart/cmnhieuloc.jpg,7h30 - 22h,10.8282847,106.7203214,770,"['770', '760', '771', '766', '768', '764', '772']",,200000.0,False,True,False,,,
2,Co.opMart Khu Vực TPHCM,134,Co.opmart Tuy Lý Vương - Quận 8,,Tuy Lý Vương,"40-54 Tuy Lý Vương, P.13, Q.8, Tp.HCM",tlvmarkering@coopmart.vn,(028) 39 515 465,2,https://cooponline.vn//cnms/images/coopmart/cmtuylyvuong.jpg,7h30 - 22h,10.8282847,106.7203214,776,"['776', '785', '760', '778', '774']",,200000.0,False,True,False,,,
3,Co.opMart Khu Vực TPHCM,135,Co.opmart Hùng Vương - Quận 5,,Hùng Vương,"96 Hùng Vương, P.9, Q.5, TP.HCM",hvmarketing@coopmart.vn,(028) 38 338 156,2,https://cooponline.vn//cnms/images/coopmart/cmhungvuong.jpg,7h30 - 22h,10.8282847,106.7203214,774,"['774', '771', '776', '27160', '27157', '27154', '26758', '26761']",,200000.0,False,True,False,,,
4,Co.opMart Khu Vực TPHCM,136,Co.opmart Bình Tân - Bình Tân,,Bình Tân,"158 đường số 19, Bình Trị Đông B, Q.Bình Tân, Tp.HCM",btmarketing@coopmart.vn,(028) 37626 706,2,https://cooponline.vn//cnms/images/coopmart/cmbinhtan.jpg,7h30 - 22h,10.8282847,106.7203214,777,"['777', '775', '771']",,200000.0,False,True,False,,,
5,Co.opMart Khu Vực TPHCM,141,Co.opmart Nguyễn Ảnh Thủ - Quận 12,,Nguyễn Ảnh Thủ,167/2 Nguyễn Ảnh Thủ - Quận 12,natmarketing@coopmart.vn,(028) 36 222 611,2,https://cooponline.vn//cnms/images/coopmart/cmnguyenanhthu.jpg,7h30 - 22h,10.8282847,106.7203214,761,"['761', '784']",,200000.0,False,True,False,,,
